Postcode,Area,1 Bedroom,2 Bedrooms,3 Bedrooms,Bigger,,
WC1,Bloomsbury,£414 pw,£605 pw,"£1,210 pw",£995 pw,,
WC2,Covent Garden,£559 pw,£923 pw,"£1,354 pw",,,
EC1,City of London,£518 pw,£772 pw,£763 pw,,,
W1,Central London,£639 pw,"£1,053 pw","£1,437 pw","£2,800 pw",,
W2,Paddington,£471 pw,£692 pw,"£1,224 pw","£1,498 pw",,
W3,Acton,£333 pw,£389 pw,£571 pw,£561 pw,,
W4,Chiswick,£339 pw,£470 pw,£652 pw,£916 pw,,
W5,Ealing,£332 pw,£404 pw,£514 pw,£857 pw,,
W6,Hammersmith,£369 pw,£510 pw,£723 pw,"£1,255 pw",,
W8,Kensington,£497 pw,"£1,276 pw","£1,186 pw","£2,013 pw",,
W9,Maida Vale,£394 pw,£611 pw,£746 pw,£948 pw,,
W10,North Kensington,£400 pw,£560 pw,£547 pw,,,
W11,Notting Hill,£510 pw,£728 pw,£959 pw,,,
W12,Shepherd's Bush,£345 pw,£525 pw,£725 pw,£863 pw,,
W14,West Kensington,£403 pw,£532 pw,£764 pw,"£1,347 pw",,
NW1,Camden,£426 pw,£582 pw,"£1,190 pw","£1,283 pw",,
NW2,Cricklewood,£304 pw,£423 pw,£646 pw,"£1,130 pw",,
NW3,Hampstead,£442 pw,£574 pw,£805 pw,"£1,189 pw",,
NW6,Kilburn,£373 pw,£496 pw,£693 pw,"£1,065 pw",,
NW7,Mill Hill,£545 pw,£359 pw,£391 pw,£900 pw,,
NW8,St Johns Wood,£463 pw,£617 pw,"£1,235 pw","£2,410 pw",,
NW10,Willesden,£265 pw,£399 pw,£582 pw,£966 pw,,
NW11,Golders Green,£323 pw,£415 pw,£539 pw,"£1,160 pw",,
SW1,Westminster,£499 pw,£883 pw,"£1,903 pw","£1,095 pw",,
SW2,Brixton,£296 pw,£382 pw,£479 pw,£900 pw,,
SW3,Chelsea,£574 pw,£915 pw,"£1,815 pw","£3,540 pw",,
SW4,Clapham,£368 pw,£457 pw,£712 pw,£898 pw,,
SW5,Earls Court,£427 pw,£706 pw,"£1,037 pw","£2,250 pw",,
SW6,Fulham,£364 pw,£475 pw,£747 pw,"£1,173 pw",,
SW7,South Kensington,£511 pw,£974 pw,"£1,657 pw","£2,985 pw",,
SW8,South Lambeth,£374 pw,£578 pw,£791 pw,£734 pw,,
SW10,West Brompton,£508 pw,£710 pw,£924 pw,"£1,520 pw",,
SW11,Battersea,£357 pw,£468 pw,£667 pw,"£1,000 pw",,
SW12,Balham,£332 pw,£447 pw,£560 pw,£810 pw,,
SW15,Putney,£345 pw,£405 pw,£533 pw,£721 pw,,
SW16,Streatham,£266 pw,£352 pw,£441 pw,£594 pw,,
SW17,Tooting,£320 pw,£383 pw,£510 pw,£643 pw,,
SW18,Wandsworth,£333 pw,£438 pw,£574 pw,£794 pw,,
SW19,Wimbledon,£298 pw,£404 pw,£525 pw,£756 pw,,
SW20,West Wimbledon,£283 pw,£437 pw,£488 pw,£750 pw,,
N1,Islington,£399 pw,£557 pw,£783 pw,"£1,241 pw",,
N3,Finchley,£342 pw,£414 pw,£638 pw,£754 pw,,
N5,Highbury,£395 pw,£517 pw,£677 pw,"£1,450 pw",,
N6,Highgate,£312 pw,£481 pw,£663 pw,"£1,623 pw",,
N7,Holloway,£373 pw,£520 pw,£575 pw,£773 pw,,
N8,Hornsey,£331 pw,£397 pw,£603 pw,£744 pw,,
N10,Muswell Hill,£320 pw,£419 pw,£642 pw,£929 pw,,
N11,New Southgate,,£417 pw,£455 pw,£518 pw,,
E1,Wapping,£435 pw,£742 pw,£913 pw,£737 pw,,
E2,Bethnal Green,£391 pw,£533 pw,£875 pw,,,
E14,Poplar,£392 pw,£564 pw,"£1,061 pw",£728 pw,,
E15,Stratford,£288 pw,£397 pw,£484 pw,£507 pw,,
E16,Canning Town,£299 pw,£387 pw,£455 pw,,,
SE1,Bermondsey,£414 pw,£597 pw,£774 pw,"£1,325 pw",,
SE3,Blackheath,£269 pw,£372 pw,£456 pw,"£1,183 pw",,
SE10,Greenwich,£339 pw,£426 pw,£549 pw,£852 pw,,
SE15,Peckham,£298 pw,£341 pw,£472 pw,,,
SE16,Rotherhithe,£354 pw,£426 pw,£715 pw,£675 pw,,
BR3,Beckenham,£247 pw,£324 pw,£431 pw,£756 pw,,
HA1,Harrow,£298 pw,£380 pw,£492 pw,£493 pw,,
HA5,Pinner,£242 pw,£341 pw,£466 pw,£700 pw,,
KT1,Kington On Thames,£303 pw,£399 pw,£565 pw,,,
KT2,Kington On Thames,£306 pw,£377 pw,£476 pw,"£1,054 pw",,
TW8,Brentford,£337 pw,£482 pw,£593 pw,,,
