TITLE,SCORE,DIRECTOR,GENRE,GENRE2,GENRE3,PLOT,CHARACTER,SOUND,VISUAL,REWATCH,OVERALL,IMDBP,YEAR,DECADE
Cinema paradiso,95,Giuseppe Tornatore,Drama,,,2.85,2.95,2.9,2.85,2.7,2.85,85,1988,1980
Goodbye Lenin,94.5,Wolfgang Becker,Comedy, Drama, Romance,2.875,2.95,2.75,2.8,2.8,2.835,78,2003,2000
The Wizard of Oz,94.5,Victor Fleming,Adventure, Family, Fantasy,2.85,2.9,3,2.675,2.75,2.835,81,1939,1930
Pulp Fiction,94,Quentin Tarantino,Crime, Drama, Thriller,2.875,2.95,2.9,2.75,2.625,2.82,90,1994,1990
Harold and Maude,93.67,Hal Ashby,Comedy, Romance,,2.8,2.95,2.95,2.8,2.55,2.81,81,1971,1970
Stand by Me,92.83,Rob Reiner,adventure, drama,,2.8,2.925,2.85,2.65,2.7,2.785,81,1986,1980
The Princess Bride,92.67,Rob Reiner,adventure, comedy, family,2.85,2.9,2.7,2.7,2.75,2.78,82,1987,1980
Mean Streets,91.17,Martin Scorsese,crime, drama,,2.65,2.825,2.95,2.8,2.45,2.735,75,1973,1970
Back to the Future,90.83,Robert Zemeckis,Adventure, comedy, sci-fi,2.875,2.7,2.65,2.65,2.75,2.725,85,1985,1980
Dumbo,90.33,Sam Armstrong,Animation, Family, Musical,2.45,2.7,2.9,2.9,2.6,2.71,73,1941,1940
The lives of others,90.33,Florian Henckel von Donnersmarck,Drama, Thriller,,2.85,2.9,2.75,2.65,2.4,2.71,85,2006,2000
Star Wars,90,George Lucas,Action, adventure, fantasy,2.7,2.7,2.7,2.7,2.7,2.7,88,1977,1970
My man Godfrey,90,Gregory La Cava,Romance, Comedy,,2.95,2.95,2.25,2.6,2.75,2.7,81,1936,1930
Dear Diary,90,Nanni Moretti,Biography, Comedy, Drama,3,3,3,2.5,2,2.7,70,1993,1990
When Harry met Sally,90,Rob Reiner,Comedy, Drama, Romance,2.75,3,3,2,2.75,2.7,76,1989,1980
Thelma and Louise,89.67,Ridley Scott,adventure, crime, drama,2.7,2.65,2.95,2.85,2.3,2.69,74,1991,1990
Saturday Night Fever,89.5,John Badham,Drama, Music, Romance,2.7,2.75,2.95,2.725,2.3,2.685,68,1977,1970
Delicatessan,89.33,"Marc Caro, Jean-Pierre Jeunet",Comedy, Fantasy, Sci-fi,2.8,2.85,2.7,2.9,2.15,2.68,78,1991,1990
The Jungle Book,89,Wolfgang Reitherman,Animation, Adventure, Family,2.55,2.8,2.75,2.7,2.55,2.67,76,1967,1960
LA Confidential,88.77,Curtis Hanson,Crime, Drama, Mystery,2.8,2.9,2.765,2.5,2.35,2.663,83,1997,1990
"The Good, the Bad, and the Ugly",88.67,Sergio Leone,adventure, western,,2.85,2.9,2.85,2.45,2.25,2.66,90,1966,1960
Taxi Driver,88.67,Martin Scorsese,Crime, Drama,,2.725,2.75,2.8,2.825,2.2,2.66,84,1976,1970
Smoke,88.5,"Wayne Wang, Paul Auster",Comedy, Drama,,2.875,2.9,2.35,2.65,2.5,2.655,75,1995,1990
Snow White and the Seven Dwarfs,88,Disney (6 DIrectors),Animation, Family, Fantasy,2.65,2.8,2.85,2.6,2.3,2.64,77,1937,1930
Phantom Carriage,87.83,Victor Sjöström,Drama, Fantasy, Horror,2.85,2.575,2.9,2.85,2,2.635,80,1921,1920
Strictly Ballroom,87,Baz Luhrmann,comedy, drama, romance,2.6,2.75,2.9,2.6,2.2,2.61,73,1992,1990
American Werewolf in London,87,John Landis,Horror,,,2,3,3,3,2,2.6,75,1981,1980
Clerks,87,Kevin Smith,Comedy,,,3,3,3,2,2,2.6,78,1994,1990
Magnolia,87,Paul Thomas Anderson,Drama,,,2.575,2.825,2.9,2.6,2.15,2.61,80,1999,1990
Kind hearts and coronets,86.67,Robert Hamer,Comedy, Crime,,2.85,2.9,2,3,2.25,2.6,82,1949,1940
Sixth Sense,86.67,M. Night Shyamalan,Drama, Mystery, Thriller,2.8,2.65,2.55,2.6,2.4,2.6,82,1999,1990
Some Like it Hot,86.33,Billy Wilder,Comedy,,,2.55,2.65,2.85,2.55,2.35,2.59,83,1959,1950
Inception,86.17,Christopher Nolan,action, adventure,,2.825,2.4,2.7,2.8,2.2,2.585,88,2010,2010
"Sex, Lies and Videotape",85.33,Steven Soderbergh,Drama,,,2.8,2.5,2.1,2.65,2.75,2.56,72,1989,1980
Run Lola Run,85,Tom Tykwer,action, crime, thriller,2.7,2.5,2.8,2.7,2.05,2.55,78,1998,1990
The big chill,84.67,Lawrence Kasdan,Comedy, Drama,,2.25,2.9,3,2.25,2.3,2.54,71,1983,1980
The Ghost and Mrs Muir,84.33,Joseph l Mankiewicz,Drama, Fantasy, Mystery,2.75,2.75,2.7,2.7,1.75,2.53,79,1947,1940
Blazing Saddles,83.83,Mel Brooks,Comedy, Western,,2.675,2.6,2.75,2.55,2,2.515,78,1974,1970
Muriel's Wedding,83.67,P.J. Hogan,Comedy, Drama, Romance,2.4,2.65,2.8,2.3,2.4,2.51,72,1994,1990
Close encounters of the third kind,83.3,Steven Spielberg,Adventure, Drama, Sci-fi,2.5,2.25,2.75,3,2,2.5,77,1977,1970
Naked Gun,83,David Zucker,Comedy, Crime,,3,2.5,3,2.5,1.5,2.5,76,1988,1980
Pretty woman,83,Garry Marshall,Comedy, Romance,,2.4,2.75,3,2,2.5,2.53,68,1990,1990
Raising Arizona,82.67,"Joel Coen, Ethan Coen",Comedy, Crime,,2.55,2.75,2.3,2.4,2.4,2.48,75,1987,1980
Animal farm,82.33,"Joy Batchelor, John Halas",Animation, Comedy, Drama,2.8,2.65,2.25,2.35,2.3,2.47,72,1954,1950
The girl with the dragon tattoo,82,David Fincher,Crime, Drama, Mystery,2.75,2.7,2.25,2.3,2.25,2.45,78,2011,2010
Fargo,82,"Joel Coen, Ethan Coen",Crime, Drama, Thriller,2.5,2.75,2.25,3,1.75,2.45,82,1996,1990
The Long Goodbye,82,Robert Altman,Crime, Drama, Thriller,2.75,2.5,2.75,2.25,2,2.45,76,1973,1970
Three Kings,81.67,David O. Russell,action, adventure, comedy,2.65,2.65,2.55,2.5,1.9,2.45,72,1999,1990
Jaws,81,Stephen Spielberg,Drama, Thriller,,2.65,2.65,2.5,2.45,1.9,2.43,81,1975,1970
Good morning Vietnam,81,Barry Levinson,Comedy, Drama, War,2.25,2.75,2.75,2.4,2,2.43,72,1987,1980
Top gun,80.83,Tony Scott,Action, Drama, Romance,2.245,2.245,2.245,2.245,2.245,2.245,68,1986,1980
Toy Story,80.5,John Lasseter,animation, adventure, comedy,2.8,2.45,2.2,2.675,1.95,2.415,83,1995,1990
Diving Bell and the Butterfly,80,Julian Schnabel,Biography, Drama,,2.5,2,3,3,1.5,2.4,80,2007,2000
Easy Rider,80,Dennis Hopper,Drama,,,2.35,2.5,2.9,2.75,1.5,2.4,74,1969,1960
A Night at the Opera,79.83,"Sam Wood, Edmund Goulding",comedy, music, musical,2.2,2.85,2.3,2.25,2.375,2.395,81,1935,1930
Dilwale Dulhania Le Jayenge,79.67,Aditya Chopra,comedy, drama, musical,2.55,2.75,2.75,2.4,1.5,2.39,84,1995,1990
Dr Strangelove,79,Stanley Kubrick,Comedy, War,,2.4,2.5,2.75,2,2.25,2.38,86,1964,1960
Stage Coach,78.67,John Ford,Adventure, western,,2.6,2.45,2.5,2.45,1.8,2.36,79,1939,1930
The Adventures of Robin Hood,78.67,"Michael Curtiz, William Keighley",Action, Adventure, Romance,2.2,2.3,2.65,2.8,1.85,2.36,80,1938,1930
American beauty,78.33,Sam Mendes,Drama,,,2.25,2.4,2.25,2.5,2.35,2.35,85,1999,1990
Heavenly Creatures,78,Peter Jackson,biography, crime, drama,2.45,2.5,2.6,2.7,1.45,2.34,75,1994,1990
Frenzy,77.67,Alfred Hitchcock,Crime, thriller,,2.5,2.4,2.4,2.35,2,2.33,75,1972,1970
Beverly Hills cop,77.33,Martin Brest,Action, Comedy, Crime,2.4,2.6,2.65,2,1.95,2.32,73,1984,1980
Belle De Jour,77,Luis Buñuel,Drama,,,2,2.5,2,3,2,2.3,78,1967,1960
Moonstruck,77,Norman Jewison,Comedy, Drama, Romance,2.6,2.5,2.75,1.75,2,2.32,70,1987,1980
The life of Brian,76.67,Terry Jones,Comedy,,,2.35,2.35,2.65,2.25,1.9,2.3,81,1979,1970
Whisky galore,76.33,Alexander Mackendrick,Comedy, Crime,,2.35,2.4,2.6,2.1,2,2.29,73,1949,1940
Manhattan,76.17,Woody Allen,Comedy, Drama, Romance,2.4,2.3,2.825,2.65,1.25,2.285,80,1979,1970
Lord of the Rings: The Return of the King,76,Peter Jackson,Adventure, Fantasy,,2.75,2.8,1.8,2.55,1.5,2.28,89,2003,2000
Groundhog Day,75.33,harold ramis,comedy, drama, fantasy,2.6,2.55,2.45,2.1,1.6,2.26,81,1993,1990
Grease,75.33,Randal Kleiser,musical, romance,,2.2,2.2,2.6,2.3,2,2.26,72,1978,1970
Fish called Wanda,75,"Charles Crichton, John Cleese",Comedy, Crime,,2.25,2.25,2.25,2.25,2.25,2.25,76,1988,1980
Requiem for a Dream,75,Darren Aronofsky,Drama,,,2.25,2.3,2.45,2.6,1.65,2.25,84,2000,2000
Ferris Buellers day off,75,John Hughes,Comedy, Drama,,2.25,2.25,2.25,2,2.5,2.25,78,1986,1980
The bicycle thieves,74.33,Vittorio De Sica,Drama,,,2.4,2.6,2.25,2.15,1.75,2.23,84,1948,1940
Letter from an unknown woman,74.33,Max Ophüls,Drama, romance,,2.6,2.35,2.35,2.1,1.75,2.23,80,1948,1940
Fatal attraction,74,Adrian Lyne,Drama, Thriller,,2.25,2.35,2,2.75,1.75,2.22,68,1987,1980
The fourth man,74,Paul Verhoeven,Drama, Mystery, Thriller,2.5,2.35,2,2.4,1.85,2.22,72,1983,1980
The Muppet Movie,74,James Frawley,adventure, comedy, family,2.4,2.55,2.6,2.2,1.35,2.22,77,1979,1970
The Breakfast Club,74,John Hughes,comedy, drama,,2.3,2.45,2.45,2.15,1.75,2.22,79,1985,1980
Amores perros,73.33,Alejandro González Iñárritu,Drama, Thriller,,2.3,2.45,2,2.5,1.75,2.2,82,2000,2000
American graffiti,73.33,George Lucas,Comedy, Drama,,2.55,2.05,2.8,2.35,1.25,2.2,75,1973,1970
Turkish delight,73.33,Paul Verhoeven,Drama, Romance,,1.85,2.3,2.6,2.5,1.75,2.2,72,1973,1970
Carrie,73,Brian De Palma,Horror, Thriller,,2.25,2.15,2.1,2.65,1.75,2.18,74,1976,1970
Ghostbusters,73,Ivan Reitman,comedy, fantasy, sci-fi,2.25,2.125,2.5,2,2,2.175,78,1984,1980
Cool Hand Luke,73,Stuart Rosenberg,crime, drama,,2.5,2.5,2,2,2,2.2,82,1967,1960
Scream,73,Wes Craven,crime, horror, mystery,3,2.5,2,2,1.5,2.2,72,1996,1990
Dog Day Afternoon,73,Sidney Lumet,crime, drama,,2.6,2.5,2.4,2.35,1.1,2.19,81,1975,1970
Spirited Away,72.33,"Hayao Miyazaki, Kirk Wise",animation, adventure, family,2.15,2.35,1.85,2.45,2.05,2.17,86,2001,2000
The Matrix,72,The Wachowski Brothers,Action, Sci-FI,,2.7,2.55,2.15,2.4,1,2.16,87,1999,1990
Sunset Boulevard,72,Billy Wilder,Drama, Film-Noir,,2.5,2.45,2.3,2.2,1.35,2.16,85,1950,1950
Hard Days Night,71.67,Richard Lester,Comedy, Music   ,,1.55,2.5,2.8,2.3,1.6,2.15,77,1964,1960
Strike,71.33,Sergei M. Eisenstein,Drama,,,2.55,2.15,2.55,2.35,1.1,2.14,77,1925,1920
Who framed roger rabbit,71,Robert Zemeckis,Animation, Comedy, Crime,2,2.15,2.25,2.75,1.5,2.13,76,1988,1980
Lord of the Rings: The Two Towers,70.33,Peter Jackson,Adventure, Fantasy,,2.6,2.65,1.65,2.45,1.2,2.11,88,2002,2000
Rain Man,69,Barry Levinson,Drama,,,2.05,2.35,2.55,2,1.4,2.07,80,1988,1980
Angel Face,68.67,Otto Preminger,Crime, Drama, Film Noir,2.4,2.4,2.5,2,1,2.06,73,1952,1950
His Girl Friday,68,Howard Hawks,Comedy, Drama, Romance,2.5,2.25,2,1.75,1.75,2.05,80,1940,1940
Brokeback Mountain,68,Ang Lee,Drama, Romance,,2.25,2.45,2.6,2.25,0.65,2.04,77,2005,2000
Invasion of the Body Snatchers,67.33,Don Siegel,Horror, Sci fi,,2.35,2.4,1.95,2.15,1.25,2.02,78,1956,1950
Le Ballon Rouge,67,Albert Lamorisse,Family, Fantasy, Short,1.5,1.5,2,3,2,2,81,1956,1950
Black Swan,67,Darren Aronofsky,drama, mystery, thriller,2,2,3,2,1,2,81,2010,2010
Social Network,67,David Fincher,Biography, Drama,,3,2,2,2,1,2,79,2010,2010
Bridesmaids,67,Paul Feig,Comedy, romance,,2,2.25,2.25,1.75,1.75,2,68,2011,2010
Pick up on south street,67,Samuel Fuller,Crime, Film-noir, thriller,2.4,2.15,2.15,2.1,1.25,2.01,78,1953,1950
FIve Easy Pieces,66,Bob Rafelson,Drama,,,2.1,2.3,2.55,2.05,0.9,1.98,75,1970,1970
The Nutty Professor,65.67,Jerry Lewis,Comedy, Sci-fi,,1.9,2.2,2.1,2.4,1.25,1.97,66,1963,1960
Edward scissorhands,65.67,Tim Burton,Drama, Fantasy, Romance,1.75,2,2.1,2.5,1.5,1.97,80,1990,1990
Babe,65.33,Chris Noonan,comedy, drama, family,2.3,2.6,1.55,2,1.35,1.96,69,1995,1990
Planet of the apes,65,Franklin J. Schaffner,Adventure, Mystery, Sci-fi,2.25,2.25,1.65,2.1,1.5,1.95,79,1968,1960
Holy Grail,65,"Terry Gilliam, Terry Jones",adventure, comedy, fantasy,2,2.2,2,2,1.5,1.94,84,1975,1970
Black Sunday,64,Mario Bava,Horror,,,2.4,2.05,1.95,2.3,0.9,1.92,73,1960,1960
The Ladies Man,63.33,Jerry Lewis,Comedy,,,1.85,2,2.15,2.25,1.25,1.9,64,1961,1960
Blue Velvet,63,David Lynch,Crime, Mystery, Thriller,1.7,1.9,2.6,2.25,1,1.89,78,1986,1980
Night of the living dead,63,George A. Romero,Horror,,,1.95,1.6,2.5,2.3,1.1,1.89,80,1968,1960
A trip to the Moon,63,Georges Méliès,short, adventure, fantasy,2,1,2,2.5,2,1.9,82,1902,1900
Forrest Gump,63,Robert Zemeckis,Drama, Romance,,2,2.25,1.75,2,1.5,1.9,87,1994,1990
Roman Holiday,63,William Wyler,comedy, drama, romance,2.25,1.75,1.5,2.5,1.5,1.9,81,1953,1950
Four Weddings and  Funeral,62.33,Mike Newell,Comedy, Drama, Romance,1.95,1.85,2.3,2.15,1.1,1.87,71,1994,1990
Fast times at ridgemont high,62,Amy Heckerling,Comedy, Drama, Romance,1.75,2,2.25,1.75,1.5,1.85,71,1982,1980
Annie hall,62,Woody Allen,Comedy, Romance,,2.25,2.25,2,1.75,1,1.85,81,1977,1970
Airplane!,61,"Jim Abrahams, David, Zucker, Jerry Zucker",Comedy,,,1.9,1.9,1.85,2.25,1.25,1.83,78,1980,1980
Lord of the Rings: The Fellowship of the Rings,61,Peter Jackson,Adventure, Fantasy,,2.45,2.4,1.3,2.3,0.7,1.83,88,2001,2000
The Fly,60.33,David Cronenberg,Horror, sci-fi,,2.25,1.95,2,2.25,0.6,1.81,75,1986,1980
The Lion King,60.33,"Roger Allers, Rob Minkoff",animation, adventure, drama,2.3,2.15,1.75,2.2,0.65,1.81,85,1994,1990
Gommorah,60.33,Matteo Garrone,crime, drama,,1.7,2.1,2.4,2.1,0.75,1.81,70,2008,2000
Inglourious basterds,60.33,"Quentin Tarantino, Eli Roth",Adventure, Drama, War,2,1.9,2,2.15,1,1.81,83,2009,2000
Double Indemnity,60,Billy Wilder,crime, drama, film noir,2,1.5,2,1.5,2,1.8,85,1944,1940
Slackers,60,Dewey Nicks,comedy, romance,,1.5,2,2,2,1.5,1.8,69,1991,1990
Titanic,59,James Cameron,Drama, Romance,,2.4,2.35,1.25,1.5,1.35,1.77,77,1997,1990
The conformist,58,Bernardo Bertolucci,Drama,,,1.75,1.3,2.25,2.4,1,1.74,80,1970,1970
The seventh seal,58,Ingmar Bergman,Drama, Fantasy,,1.75,1.8,2,2.15,1,1.74,83,1957,1950
Fanny and Alexander,57.67,Ingmar Bergman,Drama,,,2,1.85,1.65,2.15,1,1.73,82,1982,1980
The stranger,57.67,Orson Welles,Crime, Drama, Film-noir,2.05,1.85,1.9,1.85,1,1.73,75,1946,1940
Blair Witch Project,57.33,"Daniel Myrick, Eduardo Sanchez",Horror, Mystery,,2.15,1.65,1.6,2.2,1,1.72,64,1999,1990
Tinker Tailor Soldier Spy,57,Tomas Alfredson,drama, mystery, thriller,2,1.5,1.5,2,1.5,1.7,71,2011,2010
Texas Chain Saw Massacre,56.67,Tobe Hooper,Crime, horror, drama,2.1,2.1,2,2.15,0.15,1.7,75,1974,1970
The jerk,56.33,Carl Reiner,Comedy,,,2.1,1.9,1.9,1.55,1,1.69,72,1979,1970
Glengarry glenross,56,James Foley,Drama,,,1.7,1.85,2.05,1.8,1,1.68,79,1992,1990
Clueless,55,Amy Heckerling,Comedy, Romance,,2.2,2.5,1.5,1,1,1.64,66,1995,1990
"Paris, Texas",55,Wim Wenders,Drama,,,2,1.5,2,1.7,1,1.64,80,1984,1980
The great train robbery,52.5,Edwin S. Porter,Short, Western,,1.85,1.4,,1.9,1.15,1.575,74,1903,1900
Mccabe and Mrs Miller,50.67,Robert Altman,Drama, Western,,1.65,1.8,2.3,1.6,0.25,1.52,77,1971,1970
Network,50.33,Sidney Lumet,Drama,,,1.95,1.7,1.5,1.9,0.5,1.51,82,1976,1970
Bird with the Crystal Plumage,50,Dario Argento,Mystery, Thriller,,2,1.5,2,1,1,1.5,70,1970,1970
Shame,43,Steve McQueen,Drama,,,1.25,1.25,1.5,2,0.5,1.3,73,2011,2010
Le Mepris,37,Jean-Luc Godard,Drama,,,2,1,1,1.5,0,1.1,77,1963,1960
Little MIss Sunshine,83,"Jonathan Dayton, Valerie Faris",Comedy, Drama,,2.7,2.8,2.5,2.45,2,2.49,79,2006,2000
